X,polarity,center,normalized,aspect,tense,number,Y,Y_POS,Y_number,Y_animacy,Y_case,Full context,Created,Title,Sphere,Medium
французы,pos,осилили бы,осилить,perf,past,plur,,,,,,"Ежели здешняя сторона от французов будет очищена, то он так и останется, а ежели бы (чего, однако, быть не может) осилили бы французы и буде бы перешли на здешнюю сторону, немудрено, что он с ними соединиться может",1799,Ф. Ф. Ушаков. Письмо В. С. Томаре с характеристикой двойственной политики Али-паши Янинского и о его переписке с французами (1799.04.09),официально-деловая | нехудожественная,книга
течение,pos,осилит,осилить,perf,futr,sing,течение,NOUN,sing,inan,accs,"Сие продолжается до того времени, как новое течение осилит прежнее; тогда оное делается чрезвычайно быстро, но помалу уменьшается; a волнение, или всплески, начинают также утихать",1802,Г. М. Давыдов. Дневник (1802),публицистика | нехудожественная,книга
"наши, [люди]",pos,осилили,осилить,perf,past,plur,,,,,,"Неприятель, получая по дороге в подкрепление свежие эскадроны, несколько раз опрокидывал казаков, но, наконец, наши осилили и верст шесть преследовали неприятеля до селения Лихосельцы, где неприятельская кавалерия остановилась пред лесом, где находилась пехота и так как у нас ее не было, то дали казакам часа два отдохнуть и пошли обратно в Пружаны",1812,Ф. В. Самарин. Дневник (1812),бытовая | нехудожественная,прочая печатная продукция
[люди],neg,осиливали,осиливать,impf,past,plur,"его, хозяина",NPRO,sing,anim,accs,"Повесили также в конюшне медвежью голову, чтобы бездомные духи не входили в спор с хозяином за жилое владение, не осиливали его",1838,И. И. Лажечников. Басурман (1838),художественная,книга
"один, [человек]",pos,осилил,осилить,perf,past,sing,,,,,,"Таким образом, вышла у них ссора и о том, куда ехать наперед; тот кричит -- туда, тот -- туда, тот -- туда, тот зовет всех вместе на край света -- и один какой-то наконец-таки осилил и перекричал всех и велел ехать -- куда бы вы думали? -- на Петербургскую сторону",1843,"В. И. Даль. Жизнь человека, или Прогулка по Невскому проспекту (1843)",художественная,книга
русский,pos,осилит,осилить,perf,futr,sing,их,NPRO,plur,anim,accs,"Здесь кухмистер принимает своих посетителей, уверяет их, что на Петербургской стороне только и можно кушать именно у него, что он за пояс заткнет французов, что французы только хвастают, а русский их всегда осилит, и очень ловко приводит в пример этому войну 12-го года",1844,Е. П. Гребенка. Петербургская сторона (1844),публицистика | нехудожественная,книга
Круциферский,pos,осилил,осилить,perf,past,sing,стихи,NOUN,plur,inan,accs,"Круциферский, прочитав дрожащим голосом первую строфу, отер с лица своего пот и, задыхаясь, осилил еще следующие стихи",1846,А. И. Герцен. Кто виноват? (1841-1846),художественная,книга
"он, [человек]",pos,осиливает,осиливать,impf,pres,sing,"их, дни",NPRO,plur,inan,accs,"Конечно, и в его незатейливой жизни, как у многих простых, смирных людей, встречаются черные дни, в которые героизму других было бы довольно разгула; но он осиливает их, насколько сладит, где нагнется, где подымет плечи, и бредет себе далее, не трезвоня о своей бездольности",1847,И. Т. Кокорев. Сибирка. Мещанские очерки (1847),художественная,книга
"он, [человек]",neg,осилил,осилить,perf,past,sing,,,,,,"Землица-то у него, как и у всех нас, плохая была; ну, вестимо, как рук не стало на нее, не осилил, и вовсе не пошло на ней родиться... тут, вишь, братнина семья на руках осталась, двое махоньких ребятенков, не в подмогу, а все в изъян да в изъян",1847,Д. В. Григорович. Антон-горемыка (1847),художественная,книга
"он, [человек]",pos,осилил,осилить,perf,past,sing,«Вечного жида»,NOUN,sing,anim,accs,"Одевается он отлично и со вкусом; выписывает французские книги, рисунки и газеты, но до чтения небольшой охотник: «Вечного жида» едва осилил",1847,И. С. Тургенев. Бурмистр (1847),художественная,книга
