X_animacy,X,polarity,center,normalized,aspect,tense,number,Y,Y_POS,Y_number,Y_animacy,Y_case,Meaning,semi_neg,Full context,Created,Title,Sphere,Medium
inan,течение,pos,осилит,осилить,perf,futr,sing,течение,NOUN,sing,inan,accs,1.2,,"Сие продолжается до того времени, как новое течение осилит прежнее; тогда оное делается чрезвычайно быстро, но помалу уменьшается; a волнение, или всплески, начинают также утихать",1802,Г. М. Давыдов. Дневник (1802),публицистика | нехудожественная,книга
anim,[люди],neg,осиливали,осиливать,impf,past,plur,"его, хозяина",NPRO,sing,anim,accs,1.2,,"Повесили также в конюшне медвежью голову, чтобы бездомные духи не входили в спор с хозяином за жилое владение, не осиливали его",1838,И. И. Лажечников. Басурман (1838),художественная,книга
anim,русский,pos,осилит,осилить,perf,futr,sing,их,NPRO,plur,anim,accs,1.1,,"Здесь кухмистер принимает своих посетителей, уверяет их, что на Петербургской стороне только и можно кушать именно у него, что он за пояс заткнет французов, что французы только хвастают, а русский их всегда осилит, и очень ловко приводит в пример этому войну 12-го года",1844,Е. П. Гребенка. Петербургская сторона (1844),публицистика | нехудожественная,книга
anim,Круциферский,pos,осилил,осилить,perf,past,sing,стихи,NOUN,plur,inan,accs,2.1,,"Круциферский, прочитав дрожащим голосом первую строфу, отер с лица своего пот и, задыхаясь, осилил еще следующие стихи",1846,А. И. Герцен. Кто виноват? (1841-1846),художественная,книга
anim,"он, [человек]",pos,осиливает,осиливать,impf,pres,sing,"их, дни",NPRO,plur,inan,accs,2.1,,"Конечно, и в его незатейливой жизни, как у многих простых, смирных людей, встречаются черные дни, в которые героизму других было бы довольно разгула; но он осиливает их, насколько сладит, где нагнется, где подымет плечи, и бредет себе далее, не трезвоня о своей бездольности",1847,И. Т. Кокорев. Сибирка. Мещанские очерки (1847),художественная,книга
anim,"он, [человек]",pos,осилил,осилить,perf,past,sing,«Вечного жида»,NOUN,sing,anim,accs,3,едва,"Одевается он отлично и со вкусом; выписывает французские книги, рисунки и газеты, но до чтения небольшой охотник: «Вечного жида» едва осилил",1847,И. С. Тургенев. Бурмистр (1847),художественная,книга
inan,другое,pos,осилило,осилить,perf,past,sing,его,NPRO,sing,anim,accs,1.2,,"Нет, не силы его оставили, не бедность таланта и мыслей виной пустоты содержанья последних стихов его, как самоуверенно возгласили критики, и даже не болезнь (болезнь дается только к ускоренью дела, если человек проникнет смысл ее) -- нет, другое его осилило: свет любви погаснул в душе его -- вот почему примеркнул и свет поэзии",1847,Н. В. Гоголь. Выбранные места из переписки с друзьями (1843-1847),художественная,книга
anim,"он, [человек]",pos,осилил,осилить,perf,past,sing,движение,NOUN,sing,inan,accs,1.2,,"Павла Алексеевича, конечно, не бархатом по сердцу погладило от этих слов; но он собрался с духом, осилил всякое движение, казался спокойным и взглянул только слегка вопросительно на того и на другого",1847,В. И. Даль. Павел Алексеевич Игривый (1847),художественная,книга
inan,ветер,pos,осилил,осилить,perf,past,sing,его,NPRO,sing,inan,accs,1.2,,"Под нашим окном дуб сломило, а к нам приходит старый, седой старик нищий, и он говорил, что еще малым дитей помнил этот дуб и что он был такой же, как и тогда, когда ветер осилил его",1847,Ф. М. Достоевский. Хозяйка (1847),художественная,книга
anim,я,pos,осилила,осилить,perf,past,sing,сердце,NOUN,sing,inan,accs,1.2,,"Слушала я, и зло меня взяло, зло с любви взяло; я сердце осилила, промолвила: «Люб иль не люб ты пришелся мне, знать, не мне про то знать, а, верно, другой какой неразумной, бесстыжей, что светлицу свою девичью в темную ночь опозорила, за смертный грех душу свою продала да сердца своего не сдержала безумного; да знать про то, верно, моим горючим слезам да тому, кто чужой бедой воровски похваляется, над девичьим сердцем насмехается!» Сказала, да не стерпела, заплакала",1847,Ф. М. Достоевский. Хозяйка (1847),художественная,книга
