username,date,polarity,semi_neg,Y,Meaning,tweet,center,tense
s_vyatki_ja,2023-04-20 22:51:03,pos,с грехом пополам,кодировку,2.1,"@qcostmcqndxgqvi @cukamariyka у меня рядом похожий пример. первую кодировку на год с грехом пополам осилил, после чего запил ещё сильнее.вторую не выдержал и полгода. бросал сам на 2 года, когда попал в реанимацию с книгой карра ""легкий способ бросить пить"". помогает трезветь форум ""нотдринк"", надо туда.",осилил,past
AS_Russia007,2023-04-20 20:16:14,neg,,ссылку,3,"@manul_info @the_mincka @bambr111 дефективный, ты так и не осилил ссылку? ))))  https://t.co/ev1mfktijn",осилил,past
bolshoiuuxx,2023-04-20 20:08:00,neg,,вибрацию,2.1,"обделался маск, зато как он браво критиковал королева, а вот подижь ты, тоже не осилил вибрацию конструкции под напором атмосферы, а как дышал🤣",осилил,past
itry_kim,2023-04-20 19:01:29,neg,,,3,"заказал кое-что из книг. томпсона уж не чаял увидеть продолжение,ан нет,оно таки последует.  романы нэвилла нравятся,теперь заценим его рассказы. у моргана читал черного человека,но не осилил.если и новинка не пойдёт,значит не мой автор. а стейвли пора читкануть уже. #книги  https://t.co/djyakkpsjq",осилил,past
VAliev84,2023-04-20 17:26:42,neg,,школу,3,@margaret7771 человек похоже даже школу не осилил,осилил,past
Graf_Terebonka,2023-04-20 17:15:02,pos,,талмуд,3,"дорвался и осилил таки талмуд про лёву и годнота таки скажу вам. новый лев куда больше ересевого нравится, в целом падшие показаны норм челиками (но не все), есть в книге с чего покекать, отсылки на артуриану збс.",осилил,past
KnyazIdiot,2023-04-20 02:12:02,neg,,больше 2-х часов,3,"@shanatooda @suvitruf да, скучнейшая игра. тоже больше 2-х часов первой части не осилил. в days gone платину взял, топ-игра.",осилил,past
serge_sszark,2023-04-19 23:05:51,pos,с трудом,первую ,3,"++, даже бесплатно не могу себя заставить её скачать. первую с трудом осилил чисто из-за истории.",осилил,past
noanyfinename,2023-04-19 22:09:18,neg,,"""ружья, микробы и сталь""",3,"@unless_you_do чаще бросаю, если тяжело идёт. и так много всего, что можно почитать.  если прям много хороших рекомендаций пытаюсь повторить. но например, даймонда ""ружья, микробы и сталь"" не осилил, хотя его же ""коллапс"" легко зашёл.",осилил,past
AleksStarikov,2023-04-19 21:46:51,neg,,ризен вальстракса,3,"бля, а я так ризен вальстракса не осилил, а тут ещё и аматсуками",осилил,past
NewArtyom,2023-04-19 21:42:08,neg,,всю,3,"@vladvoice я сам её давно читал, честно говоря, не осилил всю, в оригинале пытался читать. в фильме только часть книги, там в итоге есть пленение главного героя и его рассуждения, на этом в целом фокус книги, психология, травма и то, как человек через это проходит надеюсь, что найдете время",осилил,past
yojke,2023-04-19 21:32:55,neg,,чтение,3,"@euwhenio @i_korotchenko я пишу, что мы как возили все эти товары, так и возим, но ты чтение так и не осилил видимо. все есть! все товары. адики, найки, гуччи. все. лаптей вот нет к сожалению. искать надо, чтобы щи было чем хлебать.",осилил,past
borschewik_eule,2023-04-19 21:29:16,neg,,пнуть,2.1,"но я уже был в депроэпизоде и не осилил себя пнуть, максимум, начал искать другую работу. депроэпизод сложился из тех домогательств, переживаний за деньги (тем более что у меня долги и съем) и бесконечной ксенофобии в окружающем мире — и постепенно усугублялся.",осилил,past
morgenmorphine,2023-04-19 21:22:21,neg,,,2.1,"@glshzzlt увуу спасибо 🥹🥹🌸 вообще хотел больше стекла накрошить, но не осилил уже",осилил,past
ultra_shmit,2023-04-19 21:04:51,pos,только со второй попытки,брейкинг бэд ,3,"@rita__hidden я брейкинг бэд только со второй попытки осилил. хотя сериал великий)  наследники хороший, но нужно подождать пока персонажи раскроются. там крутая семейная арка",осилил,past
vahmistr35,2023-04-19 20:29:57,neg,,ее (статью),3,"@plohoitovarisch @dw_russian свынятко, я предоставил тебе статью. ты её не осилил. полез задавать вопросы на которые ты сам знаешь ответ. если ты выкладываешь фото из 2000, то сейчас,  уже лет 20, у нас за любое проявление фашизма, нацизма - тюрьма. статью осилило?",осилил,past
ruru29011860,2023-04-19 18:26:05,neg,,твиттер,3,@mamamnestraszno боюсь твиттер тоже не осилил бы,осилил,past
malospish,2023-04-19 18:16:37,pos,около,около двух часов,3,"@thestoum @suvitruf я осилил около двух часов, на большее меня не хватило",осилил,past
Dr_No_N,2023-04-19 16:32:20,neg,,,3,"@_drugoy_ @osya__levinson ермак смог посмотреть эти признания вагнеровца в убийстве 5 летнего ребенка. я не осилил, слишком экстремально. кажется, что андрей ошибается - нация русская не сформировалась, она отсутствует, ее просто нет, заменена на национальность.",осилил,past
PtichkaFo,2023-04-19 13:54:42,neg,,,3,"@viktordudko1 @dw_russian так я ж ответила. ваш ботовод так и не осилил? ( ну, попросите ботовода ульяны, в конце концов.",осилил,past
LudumRu,2023-04-19 11:55:47,pos,только половину,занести,3,"кому интересны ххло списочники, их тут мног, я осилил только половину занести в чс   https://t.co/ciwopp0msz",осилил,past
rheo_tu,2023-04-19 11:54:45,neg,,трейлер,3,"@iristhefox2 я не осилил трейлер (предыдущего тизера хватило). такое чувство, что от книги оставили только имена. тоже всегда нравилась именно вторая половина романа.",осилил,past
nafnaf_3,2023-04-19 11:43:10,pos,хрен,"3,5 часа",3,"@benderbr_rb я бы хрен 3,5 часа в кинотеатре осилил бы, а так дома нормально ) да и смысла в кинотеатре на одно и то же пялится с каждым фэнтази.",осилил,past
balalabaka,2023-04-19 11:28:05,neg,,,4,"@the_shimponavt 0,5 рома олдмонк в индии. пытался сожрать ещё кило фисташки, но не осилил",осилил,past
nicolaycaraway,2023-04-19 08:28:25,pos,,игру,3,"чет подзабыл вам написать какие игры я прошел. вот недавно осилил hi fi rush. просто запредельно крутая игра. необычное сочетание ритм игры, слешера и платформера. классная графика, сюжет и персонажи. 10/10. корсика тупо топ вайфу.  https://t.co/y2egmycjnb",осилил,past
alkonow,2023-04-19 01:19:58,pos,,,2.1,"@winterishereboy займися айенгара йогой, и приятно и полезно и для ленивых (даже я осилил). для спин и шей дюже полезно, и для тазов.",осилил,past
sslmsslm,2023-04-19 00:44:08,neg,,бутыль,4,@vag_ner1337 @post_voidoff пил ещё школьником так бутыль и не осилил,осилил,past
Aelikh37,2023-04-18 22:23:56,neg,,,3,@rossasf1 вижу не осилил. дурачок малолетний 😉,осилил,past
Real_Ivannikov,2023-04-18 21:31:27,pos,,"0,7",4,"@kerim___y 0,7 осилил, теперь ему и литр по плечу.",осилил,past
_advokat,2023-04-18 20:02:41,neg,,половину (шаурмы),4,"@mos_art1 в январе с.г. за 25 zl возле вокзала в седльце  взял шаурму в батоне весом под полкило (с избыточными соусами), не осилил и половины. 0,2 соплицы оржеховой в магазе рядом - 19,5 zl.",осилил,past
petit_lievre,2023-04-18 19:37:04,neg,,,3,@annaontherock брался раза 3. не осилил. нужна ещё 1 попытка,осилил,past
6axyc,2023-04-18 18:19:06,pos,,,2.2,"@mon_parnas я за месяц раз пять осилил)) с такими ценами на такси,я решил хватить это терпеть 🤣 если снизу смотреть слева жил,на верин антараин. скучаю по той квартирке и по еревану в целом 😭  https://t.co/sordtijrpn",осилил,past
thedenisnikulin,2023-04-18 18:13:39,neg,,вим,3,@zapolnoch чел вим не осилил,осилил,past
Andrei_XimiK416,2023-04-18 17:34:52,neg,,его,4,"@j_h_75 если заметили или проголодались.   один раз кинул голубю батон. свежий.   он попытался улететь с целой буханкой в зубах, но хлеб был свежий и голубь его не осилил и с ним прям утонул в озерею  а я докурил и пошел дальше зарабатывать на хлеб   rip 🐦",осилил,past
zkkasrea,2023-04-18 17:09:53,pos,,два часа,3,"@dennica598697 осилил 2 часа и на вопросах выключил, потом дослушаю. мне, слабо ""подкованному"", показалась опасной эта теория. вооружившись ей, буржуа , могут любую бойню обозначать национально- освободительной. причем бесконечно! (иначе все погибнем- сольемся в фасции!) 😣",осилил,past
bovinzorin,2023-04-18 16:12:17,neg,больше,больше одного абзаца,3,"@meduzaproject блядь. правила придуманы для удобства. если их нарушать, то плохо всем, кроме ебнутого автора текста. больше одного абзаца не осилил. заболела голова. а вдруг сэм смит уже изменил мнение и просит называть себя исключительно ""его величайшее говнейшество""?",осилил,past
reygriva,2023-04-18 14:19:31,neg,,элементарные вещи,3,"@scaurus9 @noorderlinge666 @latyninacat @svtv_news ну, вообще-то, он. там недалёкого ума хуёк не осилил элементарные вещи и удалился. обычное дело в интернете.",осилил,past
subtilnyj,2023-04-18 13:57:53,neg,,его (собес),3,"сегодня был собес с одним лайвкодингом (больше ничего не спрашивали) и я его не осилил. чуваки в конце отключились, даже не попрощавшись",осилил,past
m1ke23,2023-04-18 10:47:49,neg,,серию,3,"@spanish_kortez как интересно. я даже первую серию не осилил, предсказуемые ходы, сближение с дочерью, терапия через непринятие. да и черный клиент сразу пробился. может конечно дальше стало не так банально)",осилил,past
ebalabuev,2023-04-18 10:41:51,neg,,,,"@sergeenko_i вассерман хотел выпендриться, но не осилил.",осилил,past
a_chthonic,2023-04-18 09:40:49,neg,,дочитать,3,"@martosaur видеоэссеистика такое счастье конечно. км уважаю, но дочитать не осилил, тяжеловатый стиль со всей этой авторской пунктуацией.",осилил,past
AlicePhoenix19,2023-04-18 09:26:53,neg,,диалог,3,"@magordeev не было захвата власти. был майдан на котором с ним пытались вести диалог.а он диалог не осилил, порешил людей и сбежал. а что мы будем делать с ссср? вся эта контора нелегальная. там было реальное вооруженное восстание. ленин за него денюжку получил от германии.",осилил,past
Kid54648734,2023-04-18 08:30:35,pos,,перевод,3,"были ставить пять, хотя во всех остальных аспектах английского вроде произношения и построения фраз я был дуб дубом и мог максимум на тройку. но после фанфикшена на английком перевод я осилил)",осилил,past
AbbasovTalks,2023-04-18 03:20:10,pos,,пару изданий,3,"я с детства пытался понять свою поверхносто и нативно верующую семью. поэтому лет в 10 уже осилил пару изданий ""детской библии"". пытался несколько раз во ""взрослую"", но жопа сгорела и скипнул.",осилил,past
KyivDuke,2023-04-18 02:14:41,neg,,бред,3,"@salka1977 ну нет. мне нет. пытался его как то посмотреть, но этот бред не осилил",осилил,past
SvitUA1,2023-04-18 01:27:19,pos,,много томов,3,"@menywddig далай лама, небось, осилил много томов. результат продемонстрировал всему миру.",осилил,past
Tianshee_,2023-04-18 00:54:42,pos,только,заголовок,3,"@sverh_derjava @finanzru а прочитать статью трудно? только заголовок осилил? да, заголовок звучит дико, но при этом кратко и точно передаёт суть всей остальной статьи, опубликованной изначально интерфакс, на неё есть ссылка",осилил,past
Kriksed,2023-04-18 00:30:20,pos,,,,"люблю hamilton musical надо будет в выходные переслушать в оригинале я осилил только один раз в русской озвучке кек воняю слабостью, да :d",осилил,past
WladySpb,2023-04-17 22:43:30,pos,,двенадцать,,@inoise я видел рекордсмена который осилил двенадцать. я остановился на шести😅,осилил,past
VadimKobzev,2023-04-17 22:33:17,neg,,прочитать,3,"@rd_prog @roemkabecko показывая свой ""глубокий ум"", вы допустили 6 пунктуационных и 2 грамматические ошибки, а также несколько опечаток. я так понимаю, что вы один из тех, кто не осилил полностью прочитать мой тред?",осилил,past
yaugata,2023-04-17 21:30:57,pos,,,,"ух вот это я силач - дотащил коробку с новым стулом. думал, она меньше будет, но я осилил 💪🏻💪🏻💪🏻  https://t.co/1tnupnvo2j",осилил,past
potatoblr,2023-04-17 20:58:44,neg,,купить,3,"@swedpaul да обычное наебалово, кто не осилил облигации купить",осилил,past
slavab16,2023-04-17 20:24:03,pos,,,3,@jmnenonik только до середины осилил)),осилил,past
RumfusP,2023-04-17 18:53:44,neg,,,3,"@cmpr47x я сезоне на 4 или 5 бросил смотреть, не осилил",осилил,past
arpitanknight,2023-04-17 15:46:00,pos,,это все,3,"смотрим в оригинале аватар, который про аанга (как я осилил это всё в рудабе с филимоновым, я не знаю)  вся история с ба синг се и его тайной полицией - это просто пиздец на самом деле 🗿  в московии никелодеон ещё крутят? аанга на нём ещё показывают? лет 6 не смотрю тв вообще  https://t.co/umqqrl5ki2",осилил,past
LoolzyFun,2023-04-17 15:26:15,neg,,,,"@chronosaber как говорил громозека, я просил 400 капель, а тут 402. не осилил короче))",осилил,past
BWzrd,2023-04-17 15:13:09,pos,,сериал,3,"короткий сериал cyberpunk edgerunners осилил за два захода с 3 перерывами на сон. осилил, наверное, потому что он короткий. господи, да мне стало лень писать в чаты и друзьям, очень ломает.  как я устал от этой необъяснимой усталости.",осилил,past
AndreyFromRussi,2023-04-17 14:39:11,neg,,ни километра,2.1,"@dillernst @hmuriyvangur сколько скоростных дорог (автобанов) построили в ссср? ответ: 0. совок не осилил ни километра скоростных дорог за 75 лет. перед тем, как спорить, поинтересуйся тем, что это такое. ибо задолбали тупые совки уже.",осилил,past
kudakoekoekuda,2023-04-17 13:52:28,pos,,полтора часа,3,"дети сами изъявили желание посмотреть хоббита. вчера начали. младший минуты три посмотрел и втихаря слинял в детскую. средненький полтора часа осилил, а потом признался, что немного скучновато.",осилил,past
avverushka,2023-04-17 10:00:45,pos,,столько серий,3,"@asazhe дя, его. надо ж делиться тайными знаниями. тем более, ты их там столько серий осилил",осилил,past
bottled_starr,2023-04-17 08:44:46,neg,,язык,3,"@ninza72773873 @igonnahate @currenttimetv чучело, ты свой родной язык даже не осилил",осилил,past
swdcxvii,2023-04-17 00:43:35,pos,,4-5 серий,3,"и эт даже не второй сезон made in abyss, в коем я за полтора месяца осилил 4-5 серий. видимо, так же растянется",осилил,past
myceera,2023-04-16 22:47:57,pos,,все,3,"год назад ебошил проект на работе и занимался у двух репетиторок - с одной в обеденный перерыв, с другой - с 21 до 23.  всё осилил ради того, чтобы быть в мюнхене.  полёт нормальный, двигаемся дальше🤙  https://t.co/hiesosuxd7",осилил,past
e_ave_e,2023-04-16 22:25:30,pos,,дорогу,2.1,@krenskiy я имела ввиду ) то чтобы дорогу осилил идущий) но you now,осилил,past
